City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,lerwick,60.1545,-1.1494,8.0,67,14,13.07,GB,1698612211
96,sumusta as sultani,28.9167,30.85,25.450000000000045,61,6,7.4,EG,1698612425
97,kibre mengist,5.8833,38.9833,14.640000000000043,98,88,0.4,ET,1698612425
98,novodvinsk,64.4165,40.8122,-4.560000000000002,81,28,1.66,RU,1698612425
99,arraial do cabo,-22.9661,-42.0278,27.980000000000018,74,0,5.14,BR,1698612426
100,avarua,-21.2078,-159.775,25.03000000000003,65,20,4.63,CK,1698612426
101,kapuskasing,49.4169,-82.4331,1.0,69,75,4.63,CA,1698612140
102,korla,41.7597,86.1469,10.340000000000032,42,77,0.94,CN,1698612426
103,bayanaul,50.7889,75.6956,1.8100000000000023,100,100,1.82,KZ,1698612426
104,mendi,-6.1761,143.6513,13.210000000000036,95,79,1.04,PG,1698612427
105,cabo san lucas,22.8909,-109.9124,30.900000000000034,68,0,4.23,MX,1698612427
106,punta arenas,-53.15,-70.9167,9.060000000000002,49,20,8.75,CL,1698612410
107,rosarito,32.3333,-117.0333,29.120000000000005,20,0,6.58,MX,1698612306
108,qaqortoq,60.7167,-46.0333,3.7700000000000387,66,100,3.79,GL,1698612416
109,castillos,-34.1667,-53.8333,18.810000000000002,82,19,3.07,UY,1698612428
110,mejit,10.2753,170.8646,28.210000000000036,81,76,9.5,MH,1698612423
111,tres arroyos,-38.3739,-60.2798,15.600000000000023,33,42,8.42,AR,1698612428
112,vilyuchinsk,52.9306,158.4028,3.8500000000000227,79,90,2.13,RU,1698612428
113,la ronge,55.1001,-105.2842,-0.8599999999999568,64,75,7.2,CA,1698612428
114,ust'-ilimsk,58.0006,102.6619,-6.419999999999959,68,67,3.13,RU,1698612429
115,shangzhi,45.2167,127.9667,7.720000000000027,66,12,2.96,CN,1698612429
116,papatowai,-46.5619,169.4708,12.5,54,11,1.91,NZ,1698612429
117,grand falls-windsor,48.9332,-55.6649,4.170000000000016,64,14,0.45,CA,1698612429
118,tubarjal,30.4999,38.216,18.370000000000005,73,100,5.77,SA,1698612429
119,enewetak,11.3474,162.3373,28.860000000000014,76,55,8.67,MH,1698612430
120,nantucket,41.2835,-70.0995,12.060000000000002,77,100,6.17,US,1698612430
121,kingston,17.997,-76.7936,31.25,71,20,4.63,JM,1698612125
122,ranchettes,41.2186,-104.7903,-4.089999999999975,56,100,6.17,US,1698612430
123,vadso,70.0744,29.7487,-5.909999999999968,86,75,3.6,NO,1698612430
124,tromso,69.6496,18.957,-3.9899999999999523,86,40,2.57,NO,1698612360
125,lormi,22.2833,81.7333,18.03000000000003,63,3,1.82,IN,1698612431
126,minas de marcona,-15.2119,-75.1103,19.460000000000036,63,44,7.52,PE,1698612431
127,san antonio oeste,-40.7319,-64.9477,17.0,26,90,13.49,AR,1698612152
128,inderbor,48.55,51.7833,10.390000000000043,65,62,8.14,KZ,1698612432
129,sur,22.5667,59.5289,27.010000000000048,66,78,3.44,OM,1698612432
130,badr hunayn,23.7829,38.7905,27.879999999999995,59,0,1.65,SA,1698612432
131,mont-dore,-22.2833,166.5833,23.890000000000043,99,10,3.82,NC,1698612432
132,codrington,-38.2667,141.9667,11.980000000000018,79,9,7.14,AU,1698612433
133,kristiansund,63.1115,7.732,2.3600000000000136,75,0,3.09,NO,1698612433
134,wanning,18.8003,110.3967,25.29000000000002,88,100,4.69,CN,1698612433
135,labasa,-16.4167,179.3833,29.439999999999998,65,36,2.15,FJ,1698612433
136,labrador city,52.9463,-66.9114,-3.0499999999999545,93,75,4.63,CA,1698612434
137,arenapolis,-14.4503,-56.8461,34.710000000000036,35,85,2.15,BR,1698612434
138,olonkinbyen,70.9221,-8.7187,0.35000000000002274,69,100,1.62,SJ,1698612429
139,berdigestyakh,62.0989,126.6992,-22.599999999999966,100,74,0.98,RU,1698612417
140,orangeburg,33.4918,-80.8557,29.160000000000025,53,0,4.63,US,1698612434
141,ust-nera,64.5667,143.2,-18.059999999999974,97,60,0.8,RU,1698612425
142,bonthe,7.5264,-12.505,25.58000000000004,87,20,2.67,SL,1698612435
143,oppdal,62.5943,9.6912,-6.6200000000000045,89,7,1.89,NO,1698612435
144,cill airne,52.05,-9.5167,8.450000000000045,91,91,1.45,IE,1698612436
145,kulunda,52.566,78.9385,-0.9599999999999795,92,100,2.02,RU,1698612436
146,yambio,4.5721,28.3955,21.110000000000014,92,89,0.9,SS,1698612436
147,uturoa,-16.7333,-151.4333,26.140000000000043,79,15,6.26,PF,1698612436
148,tralee,52.2704,-9.7026,8.580000000000041,90,94,1.78,IE,1698612369
149,port lincoln,-34.7333,135.8667,13.680000000000007,82,5,5.9,AU,1698612437
150,la gi,10.6667,107.7833,25.439999999999998,91,43,3.57,VN,1698612437
151,port alfred,-33.5906,26.891,14.54000000000002,74,93,2.68,ZA,1698612437
152,kodiak,57.79,-152.4072,7.730000000000018,100,100,4.12,US,1698612437
153,sisimiut,66.9395,-53.6735,-3.599999999999966,72,100,5.11,GL,1698612437
154,iskateley,67.6803,53.1512,-8.879999999999995,86,100,5.81,RU,1698612423
155,kuta,-8.7233,115.1723,25.970000000000027,94,20,0.51,ID,1698612438
156,al ghayzah,16.2079,52.176,25.560000000000002,74,82,2.85,YE,1698612438
157,ribeira grande,38.5167,-28.7,16.220000000000027,67,75,2.68,PT,1698612433
158,edson,53.5835,-116.4356,3.080000000000041,41,0,2.06,CA,1698612438
159,yeppoon,-23.1333,150.7333,16.879999999999995,61,79,2.17,AU,1698612439
160,beaufort west,-32.3567,22.583,8.379999999999995,68,11,11.18,ZA,1698612440
161,kalmunai,7.4167,81.8167,25.390000000000043,82,100,2.21,LK,1698612440
162,bubaque,11.2833,-15.8333,28.360000000000014,75,13,3.98,GW,1698612440
163,nizhneudinsk,54.9076,99.0276,-8.479999999999961,60,14,1.3,RU,1698612441
164,vila franca do campo,37.7167,-25.4333,15.230000000000018,99,49,3.13,PT,1698612441
165,isafjordur,66.0755,-23.124,1.150000000000034,79,30,1.56,IS,1698612420
166,al bahah,20.0129,41.4677,12.680000000000007,64,35,0.72,SA,1698612441
167,road town,18.4167,-64.6167,28.05000000000001,83,75,2.57,VG,1698612441
168,pandan,14.0453,124.1694,27.180000000000007,80,84,5.63,PH,1698612442
169,plesetsk,62.708,40.2916,-4.739999999999952,90,100,2.02,RU,1698612442
170,pathein,16.7833,94.7333,23.810000000000002,94,64,1.96,MM,1698612442
171,revda,56.801,59.9303,-3.4399999999999977,95,100,4.97,RU,1698612442
172,yuanping,38.7153,112.7575,11.0,37,0,0.83,CN,1698612442
173,kasongo,-4.45,26.6667,20.430000000000007,94,99,1.49,CD,1698612443
174,varadero,23.1536,-81.2514,28.420000000000016,75,22,8.24,CU,1698612443
